id,alias,name,image_url,is_closed,url,review_count,categories,rating,coordinates,transactions,price,location,phone,display_phone,distance
2GWtmU5XZCes8LMisE2zVA,wiseguy-pizza-washington-3,Wiseguy Pizza,https://s3-media1.fl.yelpcdn.com/bphoto/tMwsFvYsyu2xy5gE1zh65g/o.jpg,False,https://www.yelp.com/biz/wiseguy-pizza-washington-3?adjust_creative=JoeOcJqW_oyNyEhpxlGIXw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=JoeOcJqW_oyNyEhpxlGIXw,1207,"[{'alias': 'pizza', 'title': 'Pizza'}]",4.5,"{'latitude': 38.8996423212243, 'longitude': -77.0159823727216}","['delivery', 'pickup']",$,"{'address1': '300 Massachusetts Ave NW', 'address2': 'Retail  1', 'address3': '', 'city': 'Washington, DC', 'zip_code': '20001', 'country': 'US', 'state': 'DC', 'display_address': ['300 Massachusetts Ave NW', 'Retail  1', 'Washington, DC 20001']}",+12024087800,(202) 408-7800,1160.1533694444192
QSXp7oMGcmSYOupDHb-ZXg,kouzina-angelinas-pizzeria-shaw-dc-washington-10,Kouzina Angelinas Pizzeria - Shaw DC,https://s3-media3.fl.yelpcdn.com/bphoto/tZwyvCoCf2CWjtK2d8skww/o.jpg,False,https://www.yelp.com/biz/kouzina-angelinas-pizzeria-shaw-dc-washington-10?adjust_creative=JoeOcJqW_oyNyEhpxlGIXw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=JoeOcJqW_oyNyEhpxlGIXw,128,"[{'alias': 'pizza', 'title': 'Pizza'}]",4.0,"{'latitude': 38.9167436222272, 'longitude': -77.0226795226336}","['delivery', 'pickup']",$,"{'address1': '725 Florida Ave NW', 'address2': '', 'address3': '', 'city': 'Washington, DC', 'zip_code': '20001', 'country': 'US', 'state': 'DC', 'display_address': ['725 Florida Ave NW', 'Washington, DC 20001']}",+12025887448,(202) 588-7448,869.419229366138
ukk2Ko-J730EfQFqWFX0pQ,andys-pizza-shaw-washington,Andy's Pizza - Shaw,https://s3-media1.fl.yelpcdn.com/bphoto/smyHG6ERdbBILWamaMozyQ/o.jpg,False,https://www.yelp.com/biz/andys-pizza-shaw-washington?adjust_creative=JoeOcJqW_oyNyEhpxlGIXw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=JoeOcJqW_oyNyEhpxlGIXw,137,"[{'alias': 'pizza', 'title': 'Pizza'}]",4.5,"{'latitude': 38.917545996101545, 'longitude': -77.02419677333543}","['delivery', 'pickup']",,"{'address1': '2016 9th St NW', 'address2': None, 'address3': '', 'city': 'Washington, DC', 'zip_code': '20001', 'country': 'US', 'state': 'DC', 'display_address': ['2016 9th St NW', 'Washington, DC 20001']}",+12025062043,(202) 506-2043,1015.0922886976834
g3mIdtLBk9eoHrFGUGnqYw,bacio-pizzeria-washington,Bacio Pizzeria,https://s3-media4.fl.yelpcdn.com/bphoto/VX_RXLwTfu-bqpzC9veh2Q/o.jpg,False,https://www.yelp.com/biz/bacio-pizzeria-washington?adjust_creative=JoeOcJqW_oyNyEhpxlGIXw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=JoeOcJqW_oyNyEhpxlGIXw,314,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'italian', 'title': 'Italian'}, {'alias': 'icecream', 'title': 'Ice Cream & Frozen Yogurt'}]",4.5,"{'latitude': 38.91494, 'longitude': -77.011701}","['delivery', 'pickup']",$$,"{'address1': '81 Seaton Pl NW', 'address2': '', 'address3': '', 'city': 'Washington, DC', 'zip_code': '20001', 'country': 'US', 'state': 'DC', 'display_address': ['81 Seaton Pl NW', 'Washington, DC 20001']}",+12022322246,(202) 232-2246,749.4105911904925
zV4lywalabn7CDRbUoRhMw,pi-pizzeria-washington-3,Pi Pizzeria,https://s3-media2.fl.yelpcdn.com/bphoto/exCEqBrQGoVKIdLssRbK3A/o.jpg,False,https://www.yelp.com/biz/pi-pizzeria-washington-3?adjust_creative=JoeOcJqW_oyNyEhpxlGIXw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=JoeOcJqW_oyNyEhpxlGIXw,1831,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'gluten_free', 'title': 'Gluten-Free'}]",4.0,"{'latitude': 38.897154, 'longitude': -77.024709}","['delivery', 'pickup']",$$,"{'address1': '910 F St NW', 'address2': '', 'address3': '', 'city': 'Washington, DC', 'zip_code': '20004', 'country': 'US', 'state': 'DC', 'display_address': ['910 F St NW', 'Washington, DC 20004']}",+12023935484,(202) 393-5484,1555.4914055177983
8GZ5cmYIgNoRkXnxUPqmgw,all-purpose-shaw-washington-2,All-Purpose Shaw,https://s3-media3.fl.yelpcdn.com/bphoto/nmcP2fDCr-AjcZoEW8LtNQ/o.jpg,False,https://www.yelp.com/biz/all-purpose-shaw-washington-2?adjust_creative=JoeOcJqW_oyNyEhpxlGIXw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=JoeOcJqW_oyNyEhpxlGIXw,470,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'italian', 'title': 'Italian'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}]",4.0,"{'latitude': 38.90694, 'longitude': -77.02419}","['delivery', 'pickup']",$$,"{'address1': '1250 9th St NW', 'address2': '', 'address3': '', 'city': 'Washington, DC', 'zip_code': '20001', 'country': 'US', 'state': 'DC', 'display_address': ['1250 9th St NW', 'Washington, DC 20001']}",+12028496174,(202) 849-6174,679.8947359497475
no3EVuDJlxO52sPUOFPVTg,l-ardente-washington,L'Ardente,https://s3-media2.fl.yelpcdn.com/bphoto/D0_bF5pz2KY3x9K42TNAmA/o.jpg,False,https://www.yelp.com/biz/l-ardente-washington?adjust_creative=JoeOcJqW_oyNyEhpxlGIXw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=JoeOcJqW_oyNyEhpxlGIXw,289,"[{'alias': 'italian', 'title': 'Italian'}]",4.5,"{'latitude': 38.89891904977066, 'longitude': -77.01407410000002}",[],,"{'address1': '200 Massachusetts Ave NW', 'address2': None, 'address3': '', 'city': 'Washington, DC', 'zip_code': '20001', 'country': 'US', 'state': 'DC', 'display_address': ['200 Massachusetts Ave NW', 'Washington, DC 20001']}",+12024480450,(202) 448-0450,1269.2456314128979
zt5hiLWtgDBL4Giri3vg6Q,stellina-pizzeria-washington-2,Stellina Pizzeria,https://s3-media4.fl.yelpcdn.com/bphoto/JfckGopJJfbCyE7R3PINTA/o.jpg,False,https://www.yelp.com/biz/stellina-pizzeria-washington-2?adjust_creative=JoeOcJqW_oyNyEhpxlGIXw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=JoeOcJqW_oyNyEhpxlGIXw,16,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'pizza', 'title': 'Pizza'}]",4.0,"{'latitude': 38.902223, 'longitude': -77.019521}",[],$$,"{'address1': '508 K St NW', 'address2': None, 'address3': None, 'city': 'Washington, DC', 'zip_code': '20001', 'country': 'US', 'state': 'DC', 'display_address': ['508 K St NW', 'Washington, DC 20001']}",+12028513995,(202) 851-3995,879.8978314059369
n9RXV7r5fC3DszXG4oeOkw,menomale-washington,Menomale,https://s3-media4.fl.yelpcdn.com/bphoto/vS7eILDEhEADsddohD4KGw/o.jpg,False,https://www.yelp.com/biz/menomale-washington?adjust_creative=JoeOcJqW_oyNyEhpxlGIXw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=JoeOcJqW_oyNyEhpxlGIXw,47,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'delis', 'title': 'Delis'}]",4.5,"{'latitude': 38.906978, 'longitude': -77.007822}",[],$$,"{'address1': '33 N St NE', 'address2': '', 'address3': None, 'city': 'Washington, DC', 'zip_code': '20002', 'country': 'US', 'state': 'DC', 'display_address': ['33 N St NE', 'Washington, DC 20002']}",,,911.501809242895
moqtaZKtKS1EtPX1ND3sqw,nicoletta-italian-kitchen-washington-2,Nicoletta Italian Kitchen,https://s3-media3.fl.yelpcdn.com/bphoto/FrR9QDe0xUcmv0CzTJJFYw/o.jpg,False,https://www.yelp.com/biz/nicoletta-italian-kitchen-washington-2?adjust_creative=JoeOcJqW_oyNyEhpxlGIXw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=JoeOcJqW_oyNyEhpxlGIXw,127,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'italian', 'title': 'Italian'}, {'alias': 'salad', 'title': 'Salad'}]",4.0,"{'latitude': 38.90169, 'longitude': -77.0159}","['restaurant_reservation', 'pickup', 'delivery']",$$,"{'address1': '901 4th St NW', 'address2': '', 'address3': None, 'city': 'Washington, DC', 'zip_code': '20001', 'country': 'US', 'state': 'DC', 'display_address': ['901 4th St NW', 'Washington, DC 20001']}",+12026976888,(202) 697-6888,936.8611700870206
